DU91-W2-250


1        Number of airfoil tables in this file
1.0     Reynolds numbers in millions
0.0      Control setting
10.0      Stall angle (deg)
-0.25      Zero lift angle of attack (deg)
7.0      Cn slope for zero lift (dimensionless)
1.4      Cn at stall value for positive angle of attack
-0.5    Cn at stall value for negative angle of attack
0.0      Angle of attack for minimum CD (deg)
  0.008     Minimum CD value
-180.0 0.000 0.000 0.000
-175.0 0.181 0.056 0.200
-170.0 0.363 0.112 0.400
-165.0 0.544 0.169 0.198
-160.0 0.726 0.225 -0.003
-155.0 0.731 0.314 -0.019
-150.0 0.737 0.403 -0.035
-145.0 0.709 0.519 -0.008
-140.0 0.681 0.635 0.019
-135.0 0.644 0.759 0.045
-130.0 0.607 0.882 0.072
-125.0 0.552 0.997 0.099
-120.0 0.497 1.113 0.126
-115.0 0.424 1.206 0.152
-110.0 0.351 1.299 0.178
-105.0 0.266 1.358 0.199
-100.0 0.180 1.417 0.221
-95.0 0.090 1.435 0.236
-90.0 0.000 1.453 0.250
-85.0 -0.090 1.435 0.258
-80.0 -0.180 1.417 0.267
-75.0 -0.266 1.358 0.267
-70.0 -0.351 1.299 0.267
-65.0 -0.424 1.206 0.260
-60.0 -0.497 1.113 0.254
-55.0 -0.552 0.997 0.244
-50.0 -0.607 0.882 0.235
-45.0 -0.648 0.759 0.226
-40.0 -0.681 0.635 0.220
-38.0 -0.693 0.587 0.219
-36.0 -0.704 0.539 0.219
-34.0 -0.714 0.492 0.221
-32.0 -0.725 0.447 0.224
-30.0 -0.737 0.403 0.229
-28.0 -0.749 0.361 0.237
-26.0 -0.765 0.320 0.248
-24.0 -0.783 0.282 0.264
-22.0 -0.812 0.246 0.245
-20.0 -0.847 0.210 0.187
-19.0 -0.865 0.192 0.158
-18.0 -0.883 0.175 0.129
-17.0 -0.901 0.157 0.100
-16.0 -0.919 0.139 0.070
-15.0 -0.936 0.121 0.041
-14.0 -0.954 0.103 0.012
-13.5 -0.963 0.094 -0.002
-13.0 -0.972 0.085 -0.017
-12.5 -0.961 0.075 -0.024
-12.0 -0.949 0.064 -0.031
-11.5 -0.926 0.055 -0.033
-11.0 -0.903 0.045 -0.035
-10.5 -0.871 0.038 -0.039
-10.0 -0.839 0.032 -0.043
-9.5 -0.806 0.026 -0.047
-9.0 -0.773 0.021 -0.051
-8.5 -0.717 0.017 -0.059
-8.0 -0.662 0.013 -0.068
-7.5 -0.595 0.012 -0.074
-7.0 -0.528 0.010 -0.080
-6.5 -0.457 0.010 -0.086
-6.0 -0.387 0.009 -0.092
-5.5 -0.317 0.009 -0.097
-5.0 -0.247 0.008 -0.102
-4.5 -0.179 0.008 -0.105
-4.0 -0.110 0.008 -0.108
-3.5 -0.044 0.008 -0.111
-3.0 0.023 0.008 -0.114
-2.5 0.089 0.008 -0.116
-2.0 0.155 0.008 -0.119
-1.5 0.219 0.008 -0.120
-1.0 0.283 0.008 -0.122
-0.5 0.346 0.008 -0.124
0.0 0.408 0.008 -0.126
0.5 0.470 0.008 -0.127
1.0 0.533 0.008 -0.129
1.5 0.595 0.008 -0.130
2.0 0.658 0.008 -0.131
2.5 0.721 0.008 -0.133
3.0 0.782 0.008 -0.134
3.5 0.843 0.008 -0.135
4.0 0.904 0.008 -0.136
4.5 0.964 0.008 -0.136
5.0 1.024 0.009 -0.137
5.5 1.083 0.009 -0.137
6.0 1.141 0.009 -0.138
6.5 1.195 0.009 -0.137
7.0 1.248 0.010 -0.137
7.5 1.289 0.011 -0.134
8.0 1.330 0.011 -0.132
8.5 1.347 0.013 -0.127
9.0 1.365 0.015 -0.123
9.5 1.336 0.025 -0.123
10.0 1.306 0.036 -0.123
10.5 1.231 0.046 -0.122
11.0 1.156 0.055 -0.121
11.5 1.133 0.059 -0.117
12.0 1.109 0.063 -0.112
12.5 1.103 0.070 -0.109
13.0 1.097 0.077 -0.106
13.5 1.104 0.085 -0.107
14.0 1.112 0.093 -0.108
15.0 1.126 0.111 -0.112
16.0 1.129 0.125 -0.113
17.0 1.122 0.137 -0.112
18.0 1.127 0.155 -0.115
19.0 1.134 0.176 -0.121
20.0 1.139 0.196 -0.126
22.0 1.147 0.245 -0.142
24.0 1.119 0.282 -0.165
26.0 1.092 0.320 -0.184
28.0 1.071 0.361 -0.201
30.0 1.052 0.403 -0.216
32.0 1.036 0.447 -0.229
34.0 1.020 0.492 -0.242
36.0 1.005 0.539 -0.254
38.0 0.989 0.587 -0.265
40.0 0.973 0.635 -0.276
45.0 0.926 0.759 -0.302
50.0 0.868 0.882 -0.327
55.0 0.789 0.997 -0.350
60.0 0.711 1.113 -0.373
65.0 0.606 1.206 -0.394
70.0 0.502 1.299 -0.415
75.0 0.380 1.358 -0.432
80.0 0.257 1.417 -0.450
85.0 0.129 1.435 -0.463
90.0 0.000 1.453 -0.476
95.0 -0.090 1.435 -0.484
100.0 -0.180 1.417 -0.493
105.0 -0.266 1.358 -0.493
110.0 -0.351 1.299 -0.492
115.0 -0.424 1.206 -0.486
120.0 -0.497 1.113 -0.480
125.0 -0.552 0.997 -0.470
130.0 -0.607 0.882 -0.461
135.0 -0.644 0.759 -0.454
140.0 -0.681 0.635 -0.446
145.0 -0.709 0.519 -0.451
150.0 -0.737 0.403 -0.455
155.0 -0.714 0.316 -0.478
160.0 -0.690 0.230 -0.500
165.0 -0.518 0.172 -0.500
170.0 -0.345 0.115 -0.500
175.0 -0.173 0.057 -0.250
180.0 0.000 0.000 0.000
EOT
