DU00-W2-350


1        Number of airfoil tables in this file
1.0     Reynolds numbers in millions
0.0      Control setting
10.0      Stall angle (deg)
-8.0      Zero Cn angle of attack (deg)
7.0      Cn slope for zero lift (dimensionless)
1.4      Cn at stall value for positive angle of attack
-0.5    Cn at stall value for negative angle of attack
0.0      Angle of attack for minimum CD (deg)
  0.10     Minimum CD value
-180.0 0.000 0.000 0.000
-175.0 0.217 0.054 0.200
-170.0 0.433 0.107 0.400
-165.0 0.620 0.163 0.212
-160.0 0.806 0.219 0.024
-155.0 0.763 0.314 0.048
-150.0 0.719 0.409 0.072
-145.0 0.695 0.525 0.094
-140.0 0.670 0.640 0.116
-135.0 0.636 0.763 0.140
-130.0 0.601 0.886 0.163
-125.0 0.548 1.001 0.187
-120.0 0.494 1.116 0.211
-115.0 0.422 1.208 0.234
-110.0 0.350 1.301 0.256
-105.0 0.265 1.360 0.273
-100.0 0.180 1.418 0.291
-95.0 0.090 1.436 0.301
-90.0 0.000 1.453 0.312
-85.0 -0.090 1.436 0.316
-80.0 -0.180 1.418 0.320
-75.0 -0.265 1.360 0.316
-70.0 -0.350 1.301 0.312
-65.0 -0.422 1.208 0.302
-60.0 -0.494 1.116 0.292
-55.0 -0.548 1.001 0.279
-50.0 -0.601 0.886 0.267
-45.0 -0.640 0.764 0.254
-40.0 -0.670 0.640 0.244
-38.0 -0.681 0.592 0.240
-36.0 -0.691 0.544 0.238
-34.0 -0.700 0.498 0.237
-32.0 -0.709 0.452 0.237
-30.0 -0.719 0.409 0.238
-28.0 -0.730 0.366 0.242
-26.0 -0.743 0.326 0.247
-24.0 -0.759 0.288 0.257
-22.0 -0.780 0.252 0.270
-20.0 -0.806 0.219 0.289
-19.0 -0.791 0.204 0.265
-18.0 -0.776 0.188 0.241
-17.0 -0.761 0.173 0.218
-16.0 -0.746 0.157 0.194
-15.0 -0.731 0.142 0.170
-14.0 -0.716 0.126 0.146
-13.5 -0.709 0.118 0.134
-13.0 -0.701 0.111 0.122
-12.5 -0.694 0.103 0.110
-12.0 -0.686 0.095 0.098
-11.5 -0.679 0.087 0.086
-11.0 -0.671 0.080 0.075
-10.5 -0.664 0.072 0.063
-10.0 -0.656 0.064 0.051
-9.5 -0.649 0.056 0.039
-9.0 -0.641 0.049 0.027
-8.5 -0.634 0.041 0.015
-8.0 -0.626 0.033 0.003
-7.5 -0.584 0.029 -0.001
-7.0 -0.541 0.026 -0.005
-6.5 -0.494 0.023 -0.010
-6.0 -0.447 0.020 -0.014
-5.5 -0.396 0.018 -0.019
-5.0 -0.344 0.016 -0.023
-4.5 -0.289 0.014 -0.028
-4.0 -0.233 0.013 -0.033
-3.5 -0.174 0.012 -0.038
-3.0 -0.115 0.012 -0.043
-2.5 -0.054 0.011 -0.048
-2.0 0.007 0.011 -0.052
-1.5 0.070 0.011 -0.056
-1.0 0.133 0.010 -0.060
-0.5 0.197 0.010 -0.064
0.0 0.261 0.010 -0.068
0.5 0.326 0.010 -0.072
1.0 0.391 0.010 -0.075
1.5 0.457 0.010 -0.079
2.0 0.522 0.010 -0.082
2.5 0.587 0.011 -0.085
3.0 0.652 0.011 -0.087
3.5 0.716 0.011 -0.089
4.0 0.779 0.011 -0.091
4.5 0.841 0.012 -0.093
5.0 0.902 0.012 -0.095
5.5 0.961 0.012 -0.097
6.0 1.020 0.013 -0.098
6.5 1.075 0.013 -0.099
7.0 1.129 0.014 -0.100
7.5 1.178 0.015 -0.101
8.0 1.227 0.015 -0.102
8.5 1.268 0.016 -0.103
9.0 1.308 0.017 -0.104
9.5 1.339 0.020 -0.105
10.0 1.369 0.022 -0.106
10.5 1.381 0.026 -0.107
11.0 1.393 0.029 -0.107
11.5 1.368 0.035 -0.108
12.0 1.342 0.041 -0.108
12.5 1.317 0.050 -0.109
13.0 1.291 0.059 -0.109
13.5 1.270 0.069 -0.109
14.0 1.249 0.080 -0.109
15.0 1.211 0.103 -0.110
16.0 1.188 0.130 -0.119
17.0 1.172 0.154 -0.132
18.0 1.165 0.179 -0.143
19.0 1.176 0.203 -0.148
20.0 1.152 0.219 -0.157
22.0 1.114 0.252 -0.172
24.0 1.084 0.288 -0.184
26.0 1.062 0.326 -0.196
28.0 1.043 0.366 -0.206
30.0 1.027 0.409 -0.215
32.0 1.013 0.452 -0.224
34.0 1.000 0.498 -0.233
36.0 0.986 0.544 -0.242
38.0 0.973 0.592 -0.250
40.0 0.958 0.640 -0.259
45.0 0.914 0.764 -0.279
50.0 0.859 0.886 -0.299
55.0 0.782 1.001 -0.318
60.0 0.706 1.116 -0.337
65.0 0.603 1.208 -0.354
70.0 0.500 1.301 -0.371
75.0 0.378 1.360 -0.384
80.0 0.257 1.418 -0.397
85.0 0.128 1.436 -0.406
90.0 0.000 1.453 -0.415
95.0 -0.090 1.436 -0.419
100.0 -0.180 1.418 -0.423
105.0 -0.265 1.360 -0.419
110.0 -0.350 1.301 -0.415
115.0 -0.422 1.208 -0.405
120.0 -0.494 1.116 -0.395
125.0 -0.548 1.001 -0.383
130.0 -0.601 0.886 -0.370
135.0 -0.636 0.763 -0.358
140.0 -0.670 0.640 -0.347
145.0 -0.695 0.525 -0.344
150.0 -0.719 0.409 -0.341
155.0 -0.763 0.314 -0.367
160.0 -0.806 0.219 -0.392
165.0 -0.605 0.164 -0.446
170.0 -0.403 0.110 -0.500
175.0 -0.202 0.055 -0.250
180.0 0.000 0.000 0.000
EOT
