DU08-W-210


1        Number of airfoil tables in this file
1.0     Reynolds numbers in millions
0.0      Control setting
10.0      Stall angle (deg)
-4.0      Zero lift angle of attack (deg)
7.0      Cn slope for zero lift (dimensionless)
1.4      Cn at stall value for positive angle of attack
-0.5    Cn at stall value for negative angle of attack
0.0      Angle of attack for minimum CD (deg)
  0.006    Minimum CD value
-180.0 0.000 0.000 0.000
-175.0 0.250 0.038 0.200
-170.0 0.501 0.075 0.400
-165.0 0.655 0.124 0.150
-160.0 0.809 0.172 -0.099
-155.0 0.764 0.269 -0.066
-150.0 0.720 0.365 -0.033
-145.0 0.696 0.484 -0.008
-140.0 0.671 0.602 0.018
-135.0 0.636 0.728 0.043
-130.0 0.601 0.854 0.069
-125.0 0.548 0.973 0.095
-120.0 0.494 1.091 0.122
-115.0 0.422 1.188 0.147
-110.0 0.350 1.284 0.172
-105.0 0.265 1.347 0.193
-100.0 0.180 1.410 0.215
-95.0 0.090 1.431 0.229
-90.0 0.000 1.453 0.244
-85.0 -0.090 1.431 0.250
-80.0 -0.180 1.410 0.256
-75.0 -0.265 1.347 0.254
-70.0 -0.350 1.284 0.251
-65.0 -0.422 1.188 0.243
-60.0 -0.494 1.091 0.235
-55.0 -0.548 0.973 0.223
-50.0 -0.601 0.854 0.212
-45.0 -0.641 0.728 0.202
-40.0 -0.671 0.602 0.194
-38.0 -0.682 0.553 0.192
-36.0 -0.691 0.504 0.191
-34.0 -0.701 0.456 0.191
-32.0 -0.710 0.410 0.193
-30.0 -0.720 0.365 0.196
-28.0 -0.731 0.322 0.203
-26.0 -0.745 0.282 0.212
-24.0 -0.761 0.243 0.225
-22.0 -0.781 0.206 0.243
-20.0 -0.809 0.172 0.269
-19.0 -0.825 0.156 0.286
-18.0 -0.820 0.141 0.280
-17.0 -0.814 0.128 0.266
-16.0 -0.782 0.115 0.227
-15.0 -0.751 0.102 0.187
-14.0 -0.720 0.088 0.147
-13.5 -0.704 0.082 0.127
-13.0 -0.688 0.075 0.108
-12.5 -0.673 0.069 0.088
-12.0 -0.657 0.062 0.068
-11.5 -0.641 0.055 0.048
-11.0 -0.626 0.049 0.028
-10.5 -0.610 0.042 0.008
-10.0 -0.594 0.036 -0.012
-9.5 -0.579 0.029 -0.031
-9.0 -0.563 0.022 -0.051
-8.5 -0.536 0.017 -0.069
-8.0 -0.508 0.012 -0.086
-7.5 -0.437 0.010 -0.095
-7.0 -0.366 0.009 -0.103
-6.5 -0.304 0.008 -0.105
-6.0 -0.242 0.007 -0.107
-5.5 -0.180 0.007 -0.109
-5.0 -0.119 0.007 -0.110
-4.5 -0.058 0.007 -0.112
-4.0 0.003 0.006 -0.113
-3.5 0.064 0.006 -0.114
-3.0 0.124 0.006 -0.116
-2.5 0.185 0.006 -0.117
-2.0 0.245 0.006 -0.118
-1.5 0.305 0.006 -0.119
-1.0 0.365 0.006 -0.120
-0.5 0.425 0.006 -0.121
0.0 0.485 0.006 -0.122
0.5 0.545 0.006 -0.124
1.0 0.604 0.006 -0.125
1.5 0.664 0.007 -0.125
2.0 0.723 0.007 -0.126
2.5 0.782 0.007 -0.127
3.0 0.841 0.007 -0.128
3.5 0.900 0.007 -0.129
4.0 0.959 0.007 -0.130
4.5 1.017 0.007 -0.131
5.0 1.075 0.007 -0.131
5.5 1.132 0.007 -0.132
6.0 1.188 0.008 -0.133
6.5 1.242 0.008 -0.133
7.0 1.291 0.009 -0.132
7.5 1.333 0.011 -0.130
8.0 1.373 0.012 -0.128
8.5 1.412 0.013 -0.126
9.0 1.451 0.015 -0.124
9.5 1.489 0.016 -0.122
10.0 1.516 0.017 -0.122
10.5 1.542 0.018 -0.122
11.0 1.563 0.020 -0.122
11.5 1.580 0.022 -0.122
12.0 1.587 0.035 -0.124
12.5 1.549 0.049 -0.125
13.0 1.510 0.062 -0.127
13.5 1.460 0.076 -0.129
14.0 1.410 0.089 -0.130
15.0 1.340 0.103 -0.132
16.0 1.300 0.116 -0.133
17.0 1.260 0.130 -0.135
18.0 1.200 0.143 -0.137
19.0 1.179 0.156 -0.138
20.0 1.155 0.172 -0.148
22.0 1.116 0.206 -0.172
24.0 1.087 0.243 -0.192
26.0 1.064 0.282 -0.208
28.0 1.045 0.322 -0.223
30.0 1.029 0.365 -0.236
32.0 1.015 0.410 -0.248
34.0 1.001 0.456 -0.259
36.0 0.988 0.504 -0.270
38.0 0.974 0.553 -0.280
40.0 0.959 0.602 -0.291
45.0 0.915 0.728 -0.315
50.0 0.859 0.854 -0.338
55.0 0.783 0.973 -0.361
60.0 0.706 1.091 -0.383
65.0 0.603 1.188 -0.403
70.0 0.500 1.284 -0.423
75.0 0.378 1.347 -0.440
80.0 0.257 1.410 -0.457
85.0 0.128 1.431 -0.470
90.0 0.000 1.453 -0.483
95.0 -0.090 1.431 -0.489
100.0 -0.180 1.410 -0.495
105.0 -0.265 1.347 -0.493
110.0 -0.350 1.284 -0.491
115.0 -0.422 1.188 -0.483
120.0 -0.494 1.091 -0.474
125.0 -0.548 0.973 -0.463
130.0 -0.601 0.854 -0.452
135.0 -0.636 0.728 -0.442
140.0 -0.671 0.602 -0.433
145.0 -0.696 0.484 -0.435
150.0 -0.720 0.365 -0.436
155.0 -0.764 0.269 -0.472
160.0 -0.809 0.172 -0.509
165.0 -0.639 0.125 -0.504
170.0 -0.469 0.078 -0.500
175.0 -0.235 0.039 -0.250
180.0 0.000 0.000 0.000
EOT
