FX77-W-400


1        Number of airfoil tables in this file
1.0     Reynolds numbers in millions
0.0      Control setting
10.0      Stall angle (deg)
-2.25      Zero lift angle of attack (deg)
7.0      Cn slope for zero lift (dimensionless)
1.4      Cn at stall value for positive angle of attack
-0.5    Cn at stall value for negative angle of attack
0.0      Angle of attack for minimum CD (deg)
  0.028     Minimum CD value
-180.0 0.000 0.010 0.000
-175.0 0.246 0.010 0.200
-170.0 0.493 0.010 0.400
-165.0 0.603 0.052 0.353
-160.0 0.713 0.094 0.306
-155.0 0.675 0.182 0.282
-150.0 0.637 0.270 0.259
-145.0 0.616 0.379 0.261
-140.0 0.594 0.487 0.264
-135.0 0.564 0.603 0.275
-130.0 0.533 0.718 0.285
-125.0 0.486 0.828 0.298
-120.0 0.438 0.937 0.311
-115.0 0.374 1.028 0.322
-110.0 0.311 1.119 0.333
-105.0 0.235 1.180 0.339
-100.0 0.159 1.241 0.344
-95.0 0.080 1.265 0.343
-90.0 0.000 1.290 0.342
-85.0 -0.080 1.265 0.330
-80.0 -0.159 1.241 0.319
-75.0 -0.235 1.180 0.302
-70.0 -0.311 1.119 0.285
-65.0 -0.374 1.028 0.264
-60.0 -0.438 0.937 0.243
-55.0 -0.486 0.828 0.221
-50.0 -0.533 0.718 0.200
-45.0 -0.564 0.603 0.179
-40.0 -0.594 0.487 0.159
-38.0 -0.603 0.443 0.152
-36.0 -0.611 0.400 0.144
-34.0 -0.620 0.357 0.137
-32.0 -0.628 0.314 0.130
-30.0 -0.637 0.270 0.123
-28.0 -0.652 0.235 0.115
-26.0 -0.667 0.200 0.107
-24.0 -0.683 0.165 0.100
-22.0 -0.698 0.129 0.092
-20.0 -0.713 0.094 0.084
-19.0 -0.689 0.088 0.074
-18.0 -0.665 0.082 0.064
-17.0 -0.640 0.076 0.054
-16.0 -0.616 0.070 0.044
-15.0 -0.592 0.064 0.034
-14.0 -0.568 0.058 0.024
-13.5 -0.555 0.055 0.019
-13.0 -0.543 0.052 0.014
-12.5 -0.531 0.049 0.009
-12.0 -0.519 0.046 0.004
-11.5 -0.507 0.043 -0.001
-11.0 -0.495 0.040 -0.006
-10.5 -0.483 0.037 -0.011
-10.0 -0.471 0.034 -0.016
-9.5 -0.444 0.034 -0.016
-9.0 -0.417 0.033 -0.016
-8.5 -0.391 0.033 -0.016
-8.0 -0.364 0.033 -0.016
-7.5 -0.338 0.032 -0.016
-7.0 -0.311 0.032 -0.016
-6.5 -0.285 0.031 -0.016
-6.0 -0.258 0.031 -0.016
-5.5 -0.232 0.030 -0.016
-5.0 -0.205 0.030 -0.016
-4.5 -0.179 0.029 -0.016
-4.0 -0.152 0.029 -0.016
-3.5 -0.126 0.028 -0.016
-3.0 -0.099 0.028 -0.016
-2.5 -0.031 0.028 -0.019
-2.0 0.037 0.028 -0.020
-1.5 0.105 0.028 -0.022
-1.0 0.173 0.028 -0.024
-0.5 0.241 0.028 -0.025
0.0 0.309 0.028 -0.027
0.5 0.377 0.028 -0.029
1.0 0.445 0.028 -0.031
1.5 0.513 0.028 -0.032
2.0 0.580 0.028 -0.034
2.5 0.646 0.028 -0.036
3.0 0.713 0.028 -0.039
3.5 0.779 0.028 -0.041
4.0 0.845 0.028 -0.043
4.5 0.912 0.028 -0.045
5.0 0.978 0.028 -0.047
5.5 1.045 0.028 -0.049
6.0 1.111 0.028 -0.052
6.5 1.177 0.028 -0.054
7.0 1.244 0.028 -0.056
7.5 1.310 0.028 -0.058
8.0 1.374 0.028 -0.061
8.5 1.434 0.028 -0.064
9.0 1.494 0.029 -0.068
9.5 1.554 0.029 -0.071
10.0 1.614 0.029 -0.074
10.5 1.663 0.029 -0.078
11.0 1.695 0.029 -0.081
11.5 1.728 0.029 -0.084
12.0 1.760 0.030 -0.088
12.5 0.986 0.033 -0.059
13.0 0.973 0.035 -0.060
13.5 0.985 0.037 -0.062
14.0 0.998 0.038 -0.064
15.0 1.054 0.039 -0.069
16.0 1.127 0.040 -0.074
17.0 1.100 0.054 -0.083
18.0 1.073 0.067 -0.093
19.0 1.046 0.081 -0.102
20.0 1.019 0.094 -0.111
22.0 0.997 0.129 -0.120
24.0 0.975 0.165 -0.130
26.0 0.954 0.200 -0.139
28.0 0.932 0.235 -0.149
30.0 0.910 0.270 -0.158
32.0 0.898 0.314 -0.166
34.0 0.885 0.357 -0.173
36.0 0.873 0.400 -0.180
38.0 0.861 0.443 -0.187
40.0 0.849 0.487 -0.194
45.0 0.805 0.603 -0.212
50.0 0.762 0.718 -0.229
55.0 0.694 0.828 -0.246
60.0 0.626 0.937 -0.263
65.0 0.535 1.028 -0.279
70.0 0.444 1.119 -0.295
75.0 0.336 1.180 -0.308
80.0 0.228 1.241 -0.322
85.0 0.114 1.265 -0.332
90.0 0.000 1.290 -0.342
95.0 -0.080 1.265 -0.343
100.0 -0.159 1.241 -0.344
105.0 -0.235 1.180 -0.339
110.0 -0.311 1.119 -0.333
115.0 -0.374 1.028 -0.322
120.0 -0.438 0.937 -0.311
125.0 -0.486 0.828 -0.298
130.0 -0.533 0.718 -0.285
135.0 -0.564 0.603 -0.275
140.0 -0.594 0.487 -0.264
145.0 -0.616 0.379 -0.261
150.0 -0.637 0.270 -0.259
155.0 -0.675 0.182 -0.282
160.0 -0.713 0.094 -0.306
165.0 -0.603 0.052 -0.403
170.0 -0.493 0.010 -0.500
175.0 -0.246 0.010 -0.250
180.0 0.000 0.010 0.000
EOT
