DU97-W-300


1        Number of airfoil tables in this file
1.0     Reynolds numbers in millions
0.0      Control setting
10.0      Stall angle (deg)
-2.25      Zero lift angle of attack (deg)
7.0      Cn slope for zero lift (dimensionless)
1.4      Cn at stall value for positive angle of attack
-0.5    Cn at stall value for negative angle of attack
0.0      Angle of attack for minimum CD (deg)
  0.01     Minimum CD value
-180.0 0.000 0.000 0.000
-175.0 0.183 0.047 0.200
-170.0 0.366 0.093 0.400
-165.0 0.549 0.140 0.194
-160.0 0.732 0.187 -0.012
-155.0 0.721 0.279 -0.008
-150.0 0.710 0.371 -0.005
-145.0 0.688 0.489 0.020
-140.0 0.665 0.607 0.045
-135.0 0.632 0.733 0.071
-130.0 0.598 0.858 0.097
-125.0 0.545 0.976 0.124
-120.0 0.492 1.094 0.150
-115.0 0.421 1.190 0.175
-110.0 0.349 1.286 0.201
-105.0 0.264 1.348 0.222
-100.0 0.179 1.411 0.243
-95.0 0.090 1.432 0.257
-90.0 0.000 1.453 0.271
-85.0 -0.090 1.432 0.277
-80.0 -0.179 1.411 0.284
-75.0 -0.264 1.348 0.282
-70.0 -0.349 1.286 0.280
-65.0 -0.421 1.190 0.271
-60.0 -0.492 1.094 0.263
-55.0 -0.545 0.976 0.251
-50.0 -0.598 0.858 0.240
-45.0 -0.636 0.733 0.229
-40.0 -0.665 0.607 0.221
-38.0 -0.675 0.558 0.218
-36.0 -0.684 0.509 0.217
-34.0 -0.693 0.462 0.217
-32.0 -0.701 0.416 0.218
-30.0 -0.710 0.371 0.222
-28.0 -0.720 0.328 0.227
-26.0 -0.732 0.287 0.235
-24.0 -0.747 0.248 0.248
-22.0 -0.766 0.212 0.265
-20.0 -0.922 0.197 0.196
-19.0 -0.999 0.189 0.162
-18.0 -1.077 0.182 0.127
-17.0 -1.154 0.174 0.093
-16.0 -1.232 0.166 0.058
-15.0 -1.259 0.155 0.032
-14.0 -1.194 0.137 0.020
-13.5 -1.152 0.127 0.012
-13.0 -1.110 0.117 0.005
-12.5 -1.065 0.108 -0.004
-12.0 -1.020 0.098 -0.012
-11.5 -0.975 0.090 -0.019
-11.0 -0.931 0.083 -0.025
-10.5 -0.884 0.076 -0.030
-10.0 -0.838 0.070 -0.035
-9.5 -0.801 0.060 -0.041
-9.0 -0.765 0.050 -0.047
-8.5 -0.751 0.037 -0.052
-8.0 -0.737 0.024 -0.057
-7.5 -0.693 0.021 -0.059
-7.0 -0.649 0.017 -0.060
-6.5 -0.578 0.016 -0.064
-6.0 -0.507 0.015 -0.068
-5.5 -0.438 0.014 -0.072
-5.0 -0.369 0.013 -0.076
-4.5 -0.301 0.012 -0.079
-4.0 -0.233 0.012 -0.082
-3.5 -0.167 0.011 -0.085
-3.0 -0.101 0.011 -0.088
-2.5 -0.036 0.011 -0.090
-2.0 0.028 0.011 -0.093
-1.5 0.092 0.010 -0.095
-1.0 0.156 0.010 -0.098
-0.5 0.221 0.010 -0.100
0.0 0.287 0.010 -0.103
0.5 0.351 0.011 -0.105
1.0 0.416 0.011 -0.107
1.5 0.480 0.011 -0.109
2.0 0.544 0.011 -0.110
2.5 0.606 0.011 -0.112
3.0 0.668 0.011 -0.114
3.5 0.729 0.011 -0.115
4.0 0.791 0.011 -0.116
4.5 0.852 0.011 -0.118
5.0 0.913 0.011 -0.119
5.5 0.972 0.012 -0.120
6.0 1.031 0.012 -0.120
6.5 1.088 0.012 -0.121
7.0 1.145 0.012 -0.121
7.5 1.200 0.013 -0.122
8.0 1.256 0.013 -0.122
8.5 1.308 0.013 -0.121
9.0 1.359 0.014 -0.121
9.5 1.406 0.014 -0.120
10.0 1.452 0.015 -0.119
10.5 1.489 0.016 -0.117
11.0 1.526 0.017 -0.114
11.5 1.542 0.018 -0.111
12.0 1.559 0.020 -0.107
12.5 1.377 0.040 -0.111
13.0 1.196 0.059 -0.116
13.5 1.148 0.067 -0.114
14.0 1.100 0.075 -0.113
15.0 1.050 0.089 -0.111
16.0 1.022 0.103 -0.109
17.0 1.007 0.117 -0.110
18.0 1.010 0.133 -0.112
19.0 1.040 0.153 -0.118
20.0 1.065 0.173 -0.125
22.0 1.095 0.212 -0.144
24.0 1.067 0.248 -0.164
26.0 1.046 0.287 -0.180
28.0 1.029 0.328 -0.194
30.0 1.015 0.371 -0.207
32.0 1.002 0.416 -0.220
34.0 0.990 0.462 -0.231
36.0 0.977 0.509 -0.242
38.0 0.964 0.558 -0.252
40.0 0.950 0.607 -0.263
45.0 0.908 0.733 -0.287
50.0 0.854 0.858 -0.311
55.0 0.779 0.976 -0.333
60.0 0.703 1.094 -0.355
65.0 0.601 1.190 -0.376
70.0 0.499 1.286 -0.396
75.0 0.378 1.348 -0.413
80.0 0.256 1.411 -0.430
85.0 0.128 1.432 -0.442
90.0 0.000 1.453 -0.455
95.0 -0.090 1.432 -0.461
100.0 -0.179 1.411 -0.468
105.0 -0.264 1.348 -0.465
110.0 -0.349 1.286 -0.463
115.0 -0.421 1.190 -0.455
120.0 -0.492 1.094 -0.447
125.0 -0.545 0.976 -0.435
130.0 -0.598 0.858 -0.424
135.0 -0.632 0.733 -0.414
140.0 -0.665 0.607 -0.405
145.0 -0.688 0.489 -0.405
150.0 -0.710 0.371 -0.405
155.0 -0.703 0.282 -0.432
160.0 -0.697 0.193 -0.458
165.0 -0.522 0.145 -0.479
170.0 -0.348 0.096 -0.500
175.0 -0.174 0.048 -0.250
180.0 0.000 0.000 0.000
EOT
